dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,5,0.0,3,40,0.137334,0.918847,16.4164,0.372421
tartanair,5,0.25,1,40,0.217969,0.972238,14.8502,0.293118
tartanair,5,0.25,2,40,0.212765,0.975755,15.1806,0.300576
tartanair,5,0.25,3,40,0.201848,0.980195,15.0554,0.29569
tartanair,5,0.5,1,40,0.289078,0.868123,11.952,0.209667
tartanair,5,0.5,2,40,0.27438,0.887577,12.6868,0.21904
tartanair,5,0.5,3,40,0.269375,0.88528,12.2863,0.215352
tartanair,5,0.75,1,40,0.383067,0.669072,8.279,0.118805
tartanair,5,0.75,2,40,0.354203,0.698817,9.11146,0.133948
tartanair,5,0.75,3,40,0.357872,0.702971,8.52949,0.131683
tartanair,5,1.0,1,40,0.448509,0.555637,5.70988,0.0724259
tartanair,5,1.0,2,40,0.434075,0.544238,5.91695,0.0769786
tartanair,5,1.0,3,40,0.43953,0.548333,5.41237,0.080552
tartanair,6,0.0,1,40,0.13576,0.88578,16.437,0.373141
tartanair,6,0.0,2,40,0.13576,0.88578,16.437,0.373141
tartanair,6,0.0,3,40,0.13576,0.88578,16.437,0.373141
tartanair,6,0.25,1,40,0.220869,0.902297,14.7436,0.294978
tartanair,6,0.25,2,40,0.213909,0.904118,15.1322,0.303339
tartanair,6,0.25,3,40,0.204046,0.90779,14.989,0.296782
tartanair,6,0.5,1,40,0.295931,0.778263,11.7107,0.212638
tartanair,6,0.5,2,40,0.275908,0.795689,12.5175,0.224377
tartanair,6,0.5,3,40,0.275749,0.792723,12.14,0.218959
tartanair,6,0.75,1,40,0.388977,0.593601,7.87749,0.121983
tartanair,6,0.75,2,40,0.360124,0.625097,8.94899,0.141829
tartanair,6,0.75,3,40,0.362597,0.625541,8.30685,0.136228
tartanair,6,1.0,1,40,0.454842,0.507525,5.35473,0.0754878
tartanair,6,1.0,2,40,0.440952,0.498853,5.65158,0.0811224
tartanair,6,1.0,3,40,0.444846,0.500914,5.12438,0.0875963
