dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,5,0.0,3,40,0.146005,0.566635,11.6311,0.378233
tartanair,5,0.25,1,40,0.235756,0.70959,10.8237,0.290325
tartanair,5,0.25,2,40,0.234889,0.688111,11.0412,0.298035
tartanair,5,0.25,3,40,0.223519,0.721928,10.9929,0.295883
tartanair,5,0.5,1,40,0.300776,0.710169,8.96997,0.205505
tartanair,5,0.5,2,40,0.290449,0.697772,9.60181,0.213104
tartanair,5,0.5,3,40,0.272914,0.73456,9.66272,0.214298
tartanair,5,0.75,1,40,0.374309,0.63912,7.07634,0.127693
tartanair,5,0.75,2,40,0.351922,0.62398,7.9634,0.140093
tartanair,5,0.75,3,40,0.338762,0.624561,7.66866,0.14076
tartanair,5,1.0,1,40,0.412462,0.554912,5.84993,0.0853504
tartanair,5,1.0,2,40,0.40709,0.561713,6.2685,0.085649
tartanair,5,1.0,3,40,0.400838,0.543472,5.78279,0.0906166
tartanair,6,0.0,1,40,0.144853,0.54033,11.4489,0.382902
tartanair,6,0.0,2,40,0.144853,0.54033,11.4489,0.382902
tartanair,6,0.0,3,40,0.144853,0.54033,11.4489,0.382902
tartanair,6,0.25,1,40,0.236266,0.680148,10.6536,0.295388
tartanair,6,0.25,2,40,0.234895,0.658635,10.8567,0.303439
tartanair,6,0.25,3,40,0.223503,0.690144,10.8255,0.300514
tartanair,6,0.5,1,40,0.302232,0.682844,8.8233,0.209459
tartanair,6,0.5,2,40,0.291099,0.668183,9.45351,0.217036
tartanair,6,0.5,3,40,0.274489,0.706242,9.51065,0.21818
tartanair,6,0.75,1,40,0.37584,0.610027,6.81402,0.128478
tartanair,6,0.75,2,40,0.353766,0.595573,7.76564,0.142266
tartanair,6,0.75,3,40,0.339923,0.59312,7.44974,0.142834
tartanair,6,1.0,1,40,0.416288,0.533051,5.60978,0.084779
tartanair,6,1.0,2,40,0.407214,0.534248,6.0165,0.0860167
tartanair,6,1.0,3,40,0.404278,0.523598,5.56756,0.09023
