dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
vkitti,5,0.0,3,40,0.156378,0.6091,27.7462,0.186222
vkitti,5,0.25,1,40,0.178771,0.619786,25.0014,0.163659
vkitti,5,0.25,2,40,0.175949,0.619406,25.161,0.163696
vkitti,5,0.25,3,40,0.177864,0.619176,25.0406,0.165637
vkitti,5,0.5,1,40,0.193323,0.614088,24.1632,0.130266
vkitti,5,0.5,2,40,0.192273,0.614503,24.1519,0.127977
vkitti,5,0.5,3,40,0.194558,0.613924,24.1322,0.132362
vkitti,5,0.75,1,40,0.235289,0.613761,22.2955,0.0964864
vkitti,5,0.75,2,40,0.227761,0.61786,22.4936,0.0926702
vkitti,5,0.75,3,40,0.229749,0.615915,22.34,0.0981155
vkitti,5,1.0,1,40,0.29783,0.637162,19.7403,0.0625521
vkitti,5,1.0,2,40,0.289853,0.647013,19.6889,0.0550979
vkitti,5,1.0,3,40,0.288178,0.639784,19.3312,0.0627418
vkitti,6,0.0,1,40,0.156455,0.611519,27.6961,0.18355
vkitti,6,0.0,2,40,0.156455,0.611519,27.6961,0.18355
vkitti,6,0.0,3,40,0.156455,0.611519,27.6961,0.18355
vkitti,6,0.25,1,40,0.178997,0.622753,24.8832,0.16166
vkitti,6,0.25,2,40,0.176062,0.622404,25.0492,0.161864
vkitti,6,0.25,3,40,0.178125,0.622,24.9201,0.163622
vkitti,6,0.5,1,40,0.194169,0.617111,24.078,0.129756
vkitti,6,0.5,2,40,0.193104,0.61764,24.0704,0.127557
vkitti,6,0.5,3,40,0.195298,0.617004,24.0468,0.131292
vkitti,6,0.75,1,40,0.238882,0.618139,22.1228,0.0959615
vkitti,6,0.75,2,40,0.230239,0.622033,22.4056,0.0924639
vkitti,6,0.75,3,40,0.232293,0.619718,22.296,0.0979875
vkitti,6,1.0,1,40,0.302212,0.644628,19.5282,0.0618607
vkitti,6,1.0,2,40,0.293864,0.655952,19.4393,0.0543103
vkitti,6,1.0,3,40,0.293655,0.647043,19.1636,0.0624733
