run,val_set,epoch,aligned_abs_rel,abs_rel,pred_depth_span,pred_depth_p50,pred_depth_p99,boundary_f1,edge_abs_rel,fdv,tgm_metric
local,val_tartanair_degraded,5,0.373086,0.461184,17.9277,5.02339,19.2955,0.203008,0.490567,0.0839834,0.254444
local,val_tartanair_degraded,6,0.391956,0.466493,16.7092,4.85041,18.0611,0.189848,0.496495,0.0797071,0.256045
local,val_tartanair_degraded,7,0.400651,0.468684,16.1153,4.71474,17.408,0.182347,0.497595,0.0776166,0.250995
local,val_tartanair_degraded,8,0.408864,0.474921,15.6356,4.57894,16.9144,0.175807,0.503106,0.0754402,0.249134
local,val_tartanair_degraded,9,0.412069,0.477893,15.4446,4.56444,16.7359,0.174119,0.506737,0.0746173,0.249631
local,val_tartanair_degraded,10,0.412746,0.474014,15.3428,4.54078,16.631,0.171643,0.504133,0.0741049,0.249961
local,val_vkitti_clean,0,0.354052,0.0857216,99.426,14.2774,105.43,0.226965,0.255192,0.0174774,0.0272789
local,val_vkitti_clean,1,0.0905216,0.384683,45.9783,9.54441,48.8027,0.157729,0.334363,0.0200685,0.0482077
local,val_vkitti_clean,2,0.101811,0.541376,42.5575,7.44674,43.6385,0.154116,0.422525,0.0225724,0.052276
local,val_vkitti_clean,3,0.0954249,0.571832,44.146,6.96975,44.6898,0.150664,0.406681,0.0235848,0.0496378
local,val_vkitti_clean,4,0.100159,0.572386,44.235,7.01873,44.7305,0.156593,0.41166,0.0237582,0.0496112
local,val_vkitti_clean,5,0.102023,0.572954,43.8694,7.05802,44.3972,0.167421,0.420633,0.0238869,0.0491465
local,val_vkitti_clean,6,0.103209,0.577418,43.0708,6.98303,43.6116,0.171938,0.426981,0.0240435,0.0482709
local,val_vkitti_clean,7,0.106418,0.583801,41.8602,6.90136,42.4372,0.174345,0.442794,0.023998,0.0482763
local,val_vkitti_clean,8,0.108035,0.583392,41.1881,6.90281,41.8241,0.178999,0.449816,0.024062,0.0486285
local,val_vkitti_clean,9,0.108978,0.586315,40.6731,6.85357,41.3271,0.182692,0.456318,0.0242185,0.0487066
local,val_vkitti_clean,10,0.108815,0.587121,40.4344,6.83302,41.1102,0.182849,0.459904,0.0241319,0.0489138
local,val_vkitti_degraded,0,0.497518,0.126864,104.738,14.9486,110.951,0.133397,0.335149,0.0147069,0.0515311
local,val_vkitti_degraded,1,0.214964,0.355324,37.0528,11.0119,40.6418,0.0703717,0.456326,0.0210541,0.148062
local,val_vkitti_degraded,2,0.267168,0.561524,29.3098,8.04672,30.9229,0.0647258,0.597859,0.0250161,0.168498
local,val_vkitti_degraded,3,0.290255,0.630689,25.6245,6.97041,26.6672,0.0580923,0.645045,0.0248315,0.170783
local,val_vkitti_degraded,4,0.31179,0.684548,21.771,6.09022,22.587,0.0577177,0.701911,0.0251131,0.184612
local,val_vkitti_degraded,5,0.352026,0.710791,17.628,5.62356,18.4725,0.0527301,0.747817,0.0246161,0.244106
local,val_vkitti_degraded,6,0.355788,0.72679,16.3611,5.32205,17.1482,0.0482729,0.761263,0.0250941,0.269108
local,val_vkitti_degraded,7,0.372465,0.735929,15.2539,5.12792,16.0503,0.0449172,0.774191,0.0250524,0.291917
local,val_vkitti_degraded,8,0.39041,0.738996,14.3582,5.01463,15.2352,0.0436189,0.785081,0.0250557,0.317807
local,val_vkitti_degraded,9,0.394108,0.733438,14.4365,5.11014,15.3672,0.0446257,0.783572,0.0252205,0.322711
local,val_vkitti_degraded,10,0.391401,0.731152,14.5314,5.13266,15.4829,0.0452207,0.781456,0.0253694,0.326822
bwdda,val_tartanair_clean,0,0.448006,1.34622,63.7007,14.1398,69.0658,0.336658,1.63926,0.0880465,0.12821
bwdda,val_tartanair_clean,1,0.144576,0.412638,38.4734,7.77217,40.9836,0.514713,0.525174,0.139307,0.207707
bwdda,val_tartanair_clean,2,0.127585,0.332903,35.2514,5.9368,36.5663,0.524185,0.386423,0.169193,0.207116
bwdda,val_tartanair_clean,3,0.121322,0.356886,33.1519,5.31823,34.1694,0.533118,0.377345,0.179204,0.203783
bwdda,val_tartanair_clean,4,0.117359,0.369078,31.9058,5.11046,32.866,0.537559,0.381933,0.180793,0.202525
bwdda,val_tartanair_degraded,0,0.588872,1.52867,99.2112,14.4021,104.963,0.134507,1.86709,0.0668558,0.145228
bwdda,val_tartanair_degraded,1,0.27446,0.52065,28.4787,8.22702,31.5679,0.246122,0.565355,0.0868425,0.256238
bwdda,val_tartanair_degraded,2,0.291891,0.391666,22.6119,6.04021,24.3708,0.246965,0.447011,0.0965476,0.261099
bwdda,val_tartanair_degraded,3,0.328194,0.413095,18.2147,4.93704,19.5456,0.219139,0.446497,0.0902711,0.252166
bwdda,val_tartanair_degraded,4,0.344267,0.436433,16.51,4.56746,17.7721,0.205874,0.462002,0.0862015,0.256654
bwdda,val_vkitti_clean,0,0.354052,0.0857216,99.426,14.2774,105.43,0.226965,0.255192,0.0174774,0.0272789
bwdda,val_vkitti_clean,1,0.0947273,0.376675,44.4363,9.63012,47.4789,0.155664,0.348753,0.0200559,0.0509914
bwdda,val_vkitti_clean,2,0.0986152,0.553077,40.1733,7.15734,41.3705,0.153416,0.448041,0.0227578,0.050771
bwdda,val_vkitti_clean,3,0.0974888,0.606288,38.5543,6.36702,39.3038,0.155404,0.484493,0.0236138,0.0494674
bwdda,val_vkitti_clean,4,0.0973187,0.61892,37.7637,6.17353,38.4527,0.159296,0.497441,0.0236905,0.0486559
bwdda,val_vkitti_degraded,0,0.497518,0.126864,104.738,14.9486,110.951,0.133397,0.335149,0.0147069,0.0515311
bwdda,val_vkitti_degraded,1,0.214793,0.37324,34.6443,10.642,38.1992,0.0664435,0.476084,0.0206973,0.160023
bwdda,val_vkitti_degraded,2,0.245515,0.583748,27.6599,7.48408,29.2633,0.0623928,0.60924,0.0254132,0.163914
bwdda,val_vkitti_degraded,3,0.274364,0.669418,22.0737,6.11086,23.1702,0.0555676,0.687799,0.0250742,0.194985
bwdda,val_vkitti_degraded,4,0.297183,0.695226,19.5829,5.6756,20.6253,0.0535816,0.72248,0.0246082,0.213443
