dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
vkitti,5,0.0,3,40,0.190366,0.655222,28.3489,0.218704
vkitti,5,0.25,1,40,0.240031,0.661434,24.6626,0.17652
vkitti,5,0.25,2,40,0.232597,0.659892,25.2164,0.174078
vkitti,5,0.25,3,40,0.232243,0.659735,24.8087,0.173483
vkitti,5,0.5,1,40,0.303338,0.673191,20.5314,0.125038
vkitti,5,0.5,2,40,0.28802,0.669175,21.1285,0.118727
vkitti,5,0.5,3,40,0.300884,0.672808,20.5366,0.122745
vkitti,5,0.75,1,40,0.382322,0.736329,15.1226,0.0818329
vkitti,5,0.75,2,40,0.363223,0.747612,14.7844,0.0658022
vkitti,5,0.75,3,40,0.374338,0.735507,14.6793,0.0819765
vkitti,5,1.0,1,40,0.502513,0.791488,9.97022,0.0505017
vkitti,5,1.0,2,40,0.494298,0.803001,9.65682,0.0480418
vkitti,5,1.0,3,40,0.480809,0.797542,9.28577,0.0471576
vkitti,6,0.0,1,40,0.190547,0.652397,28.2655,0.222455
vkitti,6,0.0,2,40,0.190547,0.652397,28.2655,0.222455
vkitti,6,0.0,3,40,0.190547,0.652397,28.2655,0.222455
vkitti,6,0.25,1,40,0.24329,0.661428,24.4722,0.181086
vkitti,6,0.25,2,40,0.23471,0.659488,25.065,0.1777
vkitti,6,0.25,3,40,0.234556,0.659524,24.6369,0.177598
vkitti,6,0.5,1,40,0.308314,0.677843,20.2779,0.127568
vkitti,6,0.5,2,40,0.29145,0.673319,20.8781,0.120414
vkitti,6,0.5,3,40,0.305352,0.677176,20.29,0.125055
vkitti,6,0.75,1,40,0.387119,0.745325,14.7092,0.0823972
vkitti,6,0.75,2,40,0.367942,0.758976,14.2516,0.065108
vkitti,6,0.75,3,40,0.382133,0.746107,14.1221,0.0827038
vkitti,6,1.0,1,40,0.508427,0.798754,9.58557,0.0517628
vkitti,6,1.0,2,40,0.503057,0.810571,9.26728,0.0490987
vkitti,6,1.0,3,40,0.490865,0.80605,8.83085,0.0477677
