dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,5,0.0,3,40,0.160876,0.654423,14.2606,0.339542
tartanair,5,0.25,1,40,0.237672,0.747923,13.2633,0.267669
tartanair,5,0.25,2,40,0.237685,0.740523,13.6113,0.274595
tartanair,5,0.25,3,40,0.224004,0.736909,13.5863,0.270104
tartanair,5,0.5,1,40,0.302582,0.731878,11.1323,0.195762
tartanair,5,0.5,2,40,0.294893,0.735931,11.9303,0.203989
tartanair,5,0.5,3,40,0.284166,0.710643,11.4991,0.19891
tartanair,5,0.75,1,40,0.380406,0.630431,8.35927,0.116825
tartanair,5,0.75,2,40,0.361945,0.630635,9.38974,0.133425
tartanair,5,0.75,3,40,0.359367,0.595728,8.69941,0.129829
tartanair,5,1.0,1,40,0.438194,0.534392,5.78565,0.0698787
tartanair,5,1.0,2,40,0.420107,0.536403,6.51635,0.073554
tartanair,5,1.0,3,40,0.433544,0.518943,5.8455,0.0749837
tartanair,6,0.0,1,40,0.157179,0.641509,13.9872,0.339646
tartanair,6,0.0,2,40,0.157179,0.641509,13.9872,0.339646
tartanair,6,0.0,3,40,0.157179,0.641509,13.9872,0.339646
tartanair,6,0.25,1,40,0.238284,0.725076,13.0488,0.268544
tartanair,6,0.25,2,40,0.237581,0.717185,13.3518,0.275743
tartanair,6,0.25,3,40,0.224355,0.712104,13.3244,0.270765
tartanair,6,0.5,1,40,0.305781,0.706396,10.9316,0.194079
tartanair,6,0.5,2,40,0.295433,0.708814,11.6957,0.202783
tartanair,6,0.5,3,40,0.285574,0.682995,11.274,0.197331
tartanair,6,0.75,1,40,0.383219,0.600921,8.13567,0.113424
tartanair,6,0.75,2,40,0.363612,0.606547,9.178,0.129357
tartanair,6,0.75,3,40,0.360556,0.573517,8.41884,0.127383
tartanair,6,1.0,1,40,0.441626,0.509581,5.50773,0.065693
tartanair,6,1.0,2,40,0.422167,0.515241,6.25869,0.0694977
tartanair,6,1.0,3,40,0.436121,0.501446,5.52173,0.0712833
