dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,5,0.0,3,40,0.135257,0.926547,16.8901,0.373535
tartanair,5,0.25,1,40,0.187534,0.949692,15.661,0.322237
tartanair,5,0.25,2,40,0.173178,0.939092,16.1557,0.336358
tartanair,5,0.25,3,40,0.182416,0.963528,15.9456,0.322587
tartanair,5,0.5,1,40,0.227073,0.881017,13.7198,0.265257
tartanair,5,0.5,2,40,0.210892,0.90325,14.5846,0.298594
tartanair,5,0.5,3,40,0.234401,0.929861,14.6328,0.274882
tartanair,5,0.75,1,40,0.290142,0.814142,12.0764,0.213201
tartanair,5,0.75,2,40,0.259418,0.836998,13.262,0.263038
tartanair,5,0.75,3,40,0.284015,0.834588,12.8224,0.222317
tartanair,5,1.0,1,40,0.346211,0.742916,10.5894,0.183934
tartanair,5,1.0,2,40,0.315409,0.799359,12.7549,0.247177
tartanair,5,1.0,3,40,0.328904,0.770739,11.2542,0.182284
tartanair,6,0.0,1,40,0.133121,0.948779,16.8371,0.378132
tartanair,6,0.0,2,40,0.133121,0.948779,16.8371,0.378132
tartanair,6,0.0,3,40,0.133121,0.948779,16.8371,0.378132
tartanair,6,0.25,1,40,0.189407,0.972653,15.6421,0.324983
tartanair,6,0.25,2,40,0.172661,0.962252,16.1415,0.33974
tartanair,6,0.25,3,40,0.182297,0.987654,15.9547,0.325593
tartanair,6,0.5,1,40,0.227265,0.899778,13.7674,0.264454
tartanair,6,0.5,2,40,0.211968,0.924135,14.6213,0.301172
tartanair,6,0.5,3,40,0.235906,0.946513,14.6483,0.276597
tartanair,6,0.75,1,40,0.293563,0.821506,12.0919,0.213633
tartanair,6,0.75,2,40,0.259608,0.852078,13.2627,0.264836
tartanair,6,0.75,3,40,0.2852,0.842061,12.8187,0.223292
tartanair,6,1.0,1,40,0.350504,0.74627,10.5881,0.183914
tartanair,6,1.0,2,40,0.317422,0.808302,12.7742,0.248707
tartanair,6,1.0,3,40,0.329732,0.772988,11.2201,0.18385
